======================================================================
🚀 로컬 D1 → Production D1 동기화
======================================================================

📖 로컬 D1에서 데이터 읽는 중...
   총 18,646개 시설 발견
✅ 18,646개 시설 로드 완료

======================================================================
📤 Production D1에 업로드 중...
======================================================================

   총 187개 배치 (18,646개 시설)
   배치 크기: 100개

   [  1/187]   100/18,646 (  0.5%) ✅
   [  2/187]   200/18,646 (  1.1%) ✅
   [  3/187]   300/18,646 (  1.6%) ✅
   [  4/187]   400/18,646 (  2.1%) ✅
   [  5/187]   500/18,646 (  2.7%) ✅
   [  6/187]   600/18,646 (  3.2%) ✅
   [  7/187]   700/18,646 (  3.8%) ✅
   [  8/187]   800/18,646 (  4.3%) ✅
   [  9/187]   900/18,646 (  4.8%) ✅
   [ 10/187] 1,000/18,646 (  5.4%) ✅
   [ 11/187] 1,100/18,646 (  5.9%) ✅
   [ 12/187] 1,200/18,646 (  6.4%) ✅
   [ 13/187] 1,300/18,646 (  7.0%) ✅
   [ 14/187] 1,400/18,646 (  7.5%) ✅
   [ 15/187] 1,500/18,646 (  8.0%) ✅
   [ 16/187] 1,600/18,646 (  8.6%) ✅
   [ 17/187] 1,700/18,646 (  9.1%) ✅
   [ 18/187] 1,800/18,646 (  9.7%) ✅
   [ 19/187] 1,900/18,646 ( 10.2%) ✅
   [ 20/187] 2,000/18,646 ( 10.7%) ✅
   [ 21/187] 2,100/18,646 ( 11.3%) ✅
   [ 22/187] 2,200/18,646 ( 11.8%) ✅
   [ 23/187] 2,300/18,646 ( 12.3%) ✅
   [ 24/187] 2,400/18,646 ( 12.9%) ✅
   [ 25/187] 2,500/18,646 ( 13.4%) ✅
   [ 26/187] 2,600/18,646 ( 13.9%) ✅
   [ 27/187] 2,700/18,646 ( 14.5%) ✅
   [ 28/187] 2,800/18,646 ( 15.0%) ✅
   [ 29/187] 2,900/18,646 ( 15.6%) ✅
   [ 30/187] 3,000/18,646 ( 16.1%) ✅
   [ 31/187] 3,100/18,646 ( 16.6%) ✅
   [ 32/187] 3,200/18,646 ( 17.2%) ✅
   [ 33/187] 3,300/18,646 ( 17.7%) ✅
   [ 34/187] 3,400/18,646 ( 18.2%) ✅
   [ 35/187] 3,500/18,646 ( 18.8%) ✅
   [ 36/187] 3,600/18,646 ( 19.3%) ✅
   [ 37/187] 3,700/18,646 ( 19.8%) ✅
   [ 38/187] 3,800/18,646 ( 20.4%) ✅
   [ 39/187] 3,900/18,646 ( 20.9%) ✅
   [ 40/187] 4,000/18,646 ( 21.5%) ✅
   [ 41/187] 4,100/18,646 ( 22.0%) ✅
   [ 42/187] 4,200/18,646 ( 22.5%) ✅
   [ 43/187] 4,300/18,646 ( 23.1%) ✅
   [ 44/187] 4,400/18,646 ( 23.6%) ✅
   [ 45/187] 4,500/18,646 ( 24.1%) ✅
   [ 46/187] 4,600/18,646 ( 24.7%) ✅
   [ 47/187] 4,700/18,646 ( 25.2%) ✅
   [ 48/187] 4,800/18,646 ( 25.7%) ✅
   [ 49/187] 4,900/18,646 ( 26.3%) ✅
   [ 50/187] 5,000/18,646 ( 26.8%) ✅
   [ 51/187] 5,100/18,646 ( 27.4%) ✅
   [ 52/187] 5,200/18,646 ( 27.9%) ✅
   [ 53/187] 5,300/18,646 ( 28.4%) ✅
   [ 54/187] 5,400/18,646 ( 29.0%) ✅
   [ 55/187] 5,500/18,646 ( 29.5%) ✅
   [ 56/187] 5,600/18,646 ( 30.0%) ✅
   [ 57/187] 5,700/18,646 ( 30.6%) ✅
   [ 58/187] 5,800/18,646 ( 31.1%) ✅
   [ 59/187] 5,900/18,646 ( 31.6%) ✅
   [ 60/187] 6,000/18,646 ( 32.2%) ✅
   [ 61/187] 6,100/18,646 ( 32.7%) ✅
   [ 62/187] 6,200/18,646 ( 33.3%) ✅
   [ 63/187] 6,300/18,646 ( 33.8%) ✅
   [ 64/187] 6,400/18,646 ( 34.3%) ✅
   [ 65/187] 6,500/18,646 ( 34.9%) ✅
   [ 66/187] 6,600/18,646 ( 35.4%) ✅
   [ 67/187] 6,700/18,646 ( 35.9%) ✅
   [ 68/187] 6,800/18,646 ( 36.5%) ✅
   [ 69/187] 6,900/18,646 ( 37.0%) ✅
   [ 70/187] 7,000/18,646 ( 37.5%) ✅
   [ 71/187] 7,100/18,646 ( 38.1%) ✅
   [ 72/187] 7,200/18,646 ( 38.6%) ✅
   [ 73/187] 7,300/18,646 ( 39.2%) ✅
   [ 74/187] 7,400/18,646 ( 39.7%) ✅
   [ 75/187] 7,500/18,646 ( 40.2%) ✅
   [ 76/187] 7,600/18,646 ( 40.8%) ✅
   [ 77/187] 7,700/18,646 ( 41.3%) ✅
   [ 78/187] 7,800/18,646 ( 41.8%) ✅
   [ 79/187] 7,900/18,646 ( 42.4%) ✅
   [ 80/187] 8,000/18,646 ( 42.9%) ✅
   [ 81/187] 8,100/18,646 ( 43.4%) ✅
   [ 82/187] 8,200/18,646 ( 44.0%) ✅
   [ 83/187] 8,300/18,646 ( 44.5%) ✅
   [ 84/187] 8,400/18,646 ( 45.0%) ✅
   [ 85/187] 8,500/18,646 ( 45.6%) ✅
   [ 86/187] 8,600/18,646 ( 46.1%) ✅
   [ 87/187] 8,700/18,646 ( 46.7%) ✅
   [ 88/187] 8,800/18,646 ( 47.2%) ✅
   [ 89/187] 8,900/18,646 ( 47.7%) ✅
   [ 90/187] 9,000/18,646 ( 48.3%) ✅
   [ 91/187] 9,100/18,646 ( 48.8%) ✅
   [ 92/187] 9,200/18,646 ( 49.3%) ✅
   [ 93/187] 9,300/18,646 ( 49.9%) ✅
   [ 94/187] 9,400/18,646 ( 50.4%) ✅
   [ 95/187] 9,500/18,646 ( 50.9%) ✅
   [ 96/187] 9,600/18,646 ( 51.5%) ✅
   [ 97/187] 9,700/18,646 ( 52.0%) ✅
   [ 98/187] 9,800/18,646 ( 52.6%) ✅
   [ 99/187] 9,900/18,646 ( 53.1%) ✅
   [100/187] 10,000/18,646 ( 53.6%) ✅
   [101/187] 10,100/18,646 ( 54.2%) ✅
   [102/187] 10,200/18,646 ( 54.7%) ✅
   [103/187] 10,300/18,646 ( 55.2%) ✅
   [104/187] 10,400/18,646 ( 55.8%) ✅
   [105/187] 10,500/18,646 ( 56.3%) ✅
   [106/187] 10,600/18,646 ( 56.8%) ✅
   [107/187] 10,700/18,646 ( 57.4%) ✅
   [108/187] 10,800/18,646 ( 57.9%) ✅
   [109/187] 10,900/18,646 ( 58.5%) ✅
   [110/187] 11,000/18,646 ( 59.0%) ✅
   [111/187] 11,100/18,646 ( 59.5%) ✅
   [112/187] 11,200/18,646 ( 60.1%) ✅
   [113/187] 11,300/18,646 ( 60.6%) ✅
   [114/187] 11,400/18,646 ( 61.1%) ✅
   [115/187] 11,500/18,646 ( 61.7%) ✅
   [116/187] 11,600/18,646 ( 62.2%) ✅
   [117/187] 11,700/18,646 ( 62.7%) ✅
   [118/187] 11,800/18,646 ( 63.3%) ✅
   [119/187] 11,900/18,646 ( 63.8%) ✅
   [120/187] 12,000/18,646 ( 64.4%) ✅
   [121/187] 12,100/18,646 ( 64.9%) ✅
   [122/187] 12,200/18,646 ( 65.4%) ✅
   [123/187] 12,300/18,646 ( 66.0%) ✅
   [124/187] 12,400/18,646 ( 66.5%) ✅
   [125/187] 12,500/18,646 ( 67.0%) ✅
   [126/187] 12,600/18,646 ( 67.6%) ✅
   [127/187] 12,700/18,646 ( 68.1%) ✅
   [128/187] 12,800/18,646 ( 68.6%) ✅
   [129/187] 12,900/18,646 ( 69.2%) ✅
   [130/187] 13,000/18,646 ( 69.7%) ✅
   [131/187] 13,100/18,646 ( 70.3%) ✅
   [132/187] 13,200/18,646 ( 70.8%) ✅
   [133/187] 13,300/18,646 ( 71.3%) ✅
   [134/187] 13,400/18,646 ( 71.9%) ✅
   [135/187] 13,500/18,646 ( 72.4%) ✅
   [136/187] 13,600/18,646 ( 72.9%) ✅
   [137/187] 13,700/18,646 ( 73.5%) ✅
   [138/187] 13,800/18,646 ( 74.0%) ✅
   [139/187] 13,900/18,646 ( 74.5%) ✅
   [140/187] 14,000/18,646 ( 75.1%) ✅
   [141/187] 14,100/18,646 ( 75.6%) ✅
   [142/187] 14,200/18,646 ( 76.2%) ✅
   [143/187] 14,300/18,646 ( 76.7%) ✅
   [144/187] 14,400/18,646 ( 77.2%) ✅
   [145/187] 14,500/18,646 ( 77.8%) ✅
   [146/187] 14,600/18,646 ( 78.3%) ✅
   [147/187] 14,700/18,646 ( 78.8%) ✅
   [148/187] 14,800/18,646 ( 79.4%) ✅
   [149/187] 14,900/18,646 ( 79.9%) ✅
   [150/187] 15,000/18,646 ( 80.4%) ✅
   [151/187] 15,100/18,646 ( 81.0%) ✅
   [152/187] 15,200/18,646 ( 81.5%) ✅
   [153/187] 15,300/18,646 ( 82.1%) ✅
   [154/187] 15,400/18,646 ( 82.6%) ✅
   [155/187] 15,500/18,646 ( 83.1%) ✅
   [156/187] 15,600/18,646 ( 83.7%) ✅
   [157/187] 15,700/18,646 ( 84.2%) ✅
